CAS,chemical_name,susdat_name,susdat_id,DTX,,
118-74-1,hexachlorobenzene,,NS00010702,,,
86479-06-3,hexaflumuron,,NS00002470,,,
51235-04-2,hexazinone,,NS00000457,,,
78587-05-0,hexythiazox,,NS00000151,,,
2439-01-2,chinomethionat,Chinomethionate,NS00001548,,,
2599-11-3,hydroxysimazine,,NS00000309,,,
500008-45-7,chlorantraniliprole,,NS00002799,,,
103-17-3,chlorbenside,,NS00021456,,,
5103-71-9,chlordane cis,Cis-Chlordane,NS00066932,,,
5103-74-2,chlordane trans,Trans-Chlordane,NS00073906,,,
1967-16-4,chlorbufam,,NS00007292,,,
122453-73-0,chlorfenapyr,,NS00008155,,,
80-33-1,chlorfenson,,NS00005538,,,
470-90-6,chlorfenvinphos,,NS00000485,,,
1698-60-8,chloridazon,,NS00008895,,,
2675-77-6,chloroneb,,NS00001859,,,
510-15-6,chlorobenzilate,,NS00006325,,,
3691-35-8,chlorophacinone,,NS00005218,,,
1897-45-6,chlorothalonil,,NS00005725,,,
15545-48-9,chlorotoluron,,NS00000251,,,
1982-47-4,chloroxuron,,NS00010440,,,
1891-95-8,chloroxynil,,NS00000486,,,
101-21-3,chlorpropham,,NS00010021,,,
5598-13-0,chlorpyrifos-methyl,,NS00000446,,,
2921-88-2,chlorpyrifos-ethyl,"	Chlorpyrifos (Chlorpyrifos-ethyl)",NS00000445,,,
64902-72-3,chlorsulfuron,,NS00000107,,,
1861-32-1,chlorthal-dimethyl,,NS00000701,,,
500-28-7,chlorthion,,NS00001236,,,
60238-56-4,chlorthiophos,,NS00004688,,,
15545-48-9,chlortoluron,Chlorotoluron,NS00000251,,,
84332-86-5,chlozolinate,,NS00004292,,,
143807-66-3,chromafenozide,,NS00005492,,,
35554-44-0,imazalil,,NS00009564,,,
81335-37-7,imazaquin,,NS00009683,,,
114311-32-9,imazamox,,NS00000438,,,
138261-41-3,imidacloprid,,NS00000361,,,
122548-33-8,imazosulfuron,,NS00007342,,,
115970-17-7,imidacloprid guanidine,Desnitro-imidacloprid,NS00000493,,,
115086-54-9,imidacloprid olefin,,NS00014262,,,
6714-29-0,impy,"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",NS00046475,,,
173584-44-6,indoxacarb,,NS00098526,,,
18181-70-9,iodofenphos,Iodenphos,NS00009634,,,
144550-06-1,iodosulfuron-methyl,Iodosulfuron methyl ester,NS00000651,,,
125225-28-7,ipconazole,,NS00002872,,,
1689-83-4,ioxynil,,NS00009868,,,
36734-19-7,iprodione,,NS00000494,,,
26087-47-8,iprobenfos,,NS00003998,,,
140923-17-7,iprovalicarb,,NS00000435,,,
42509-80-8,isazofos,,NS00008269,,,
297-78-9,isobenzan,,NS00022007,,,
24353-61-5,isocarbophos,,NS00006574,,,
465-73-6,isodrin,,NS00006421,,,
