LitDatabase,,CAS,Individual_ID,reported_concentration,,type_of_numeric_quantity,range_min/range_max,,Sample matrix,tissue,remark_MATRIX,Sample preparation,analytical_method,storage_temp_c/Packing material of samples,lod/loq,Species,Suggested Name ,latin_name,kingdom,class_phyl,Order,life_stage,sex,x_of_subsamples,x_of_replicates,start_of_sampling_day/start_of_sampling_month/start_of_sampling_year,Biota weight,Biota size/Biota length/Biota weight,,health_status,,,,,,trophic_level_as_described_in_paper/diet_as_described_in_paper,δ13C vs. VPDB ,d15N vs. Air N2,remark_Matrix of isotope parameters measured,,,Cause of death,name_of_country,region_city,latitude_1/longitude_1,habitat_type,,,,temperature,remark_2_Local soil/sediment/vegetation/mice concentration of metal element,Sample matrix,concentration_units,SD,reported_distance_to_industry,title/first_author/year/doi,,
,Cr,7440-47-3,NS00099583,2.5,0.54,mean,1.55-3.41,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O11",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Short eared owl,Short-eared owl,Asio flammeus,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,flame-coloured,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Mianwali,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,21.37-75.70,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cr,7440-47-3,NS00099583,1.97,0.24,mean,1.68-2.45,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O12",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Asian barred owlet (Himalayan owl),Asian barred owlet ,Glaucidium cuculoides,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,whitish with dark brown bars,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,21.37-75.70,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cr,7440-47-3,NS00099583,1.77,0.33,mean,1.12-2.11,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O13",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Little owl,Little owl,Athene noctua,Animalia,Aves,Strigiformes,N/A,N/A,4,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,"greyish-brown, spotted, streaked and barred with white",N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Okara,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,21.37-75.70,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Ni,7440-02-0,NS00099721,3.02,0.39,mean,2.27-3.55,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O14",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Spotted owlet,Spotted owlet,Athene brama,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,spotted,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,N/A,mg/kg,N/A,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Ni,7440-02-0,NS00099721,2.3,0.44,mean,1.64-3.14,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O15",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Short eared owl,Short-eared owl,Asio flammeus,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,flame-coloured,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Mianwali,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,N/A,mg/kg,N/A,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Ni,7440-02-0,NS00099721,2.17,0.56,mean,1.15-3.10,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O16",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Asian barred owlet (Himalayan owl),Asian barred owlet ,Glaucidium cuculoides,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,whitish with dark brown bars,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,N/A,mg/kg,N/A,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Ni,7440-02-0,NS00099721,1.2,0.71,mean,0.00-2.46,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O17",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Little owl,Little owl,Athene noctua,Animalia,Aves,Strigiformes,N/A,N/A,4,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,"greyish-brown, spotted, streaked and barred with white",N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Okara,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,N/A,mg/kg,N/A,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Co,7440-48-4,NS00099570,1.25,0.13,mean,1.10-1.50,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O18",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Spotted owlet,Spotted owlet,Athene brama,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,spotted,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,0.13–3.83,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Co,7440-48-4,NS00099570,1.49,0.33,mean,1.15-2.15,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O19",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Short eared owl,Short-eared owl,Asio flammeus,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,flame-coloured,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Mianwali,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,0.13–3.83,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Co,7440-48-4,NS00099570,0.99,0.28,mean,0.45-1.40,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O20",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Asian barred owlet (Himalayan owl),Asian barred owlet ,Glaucidium cuculoides,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,whitish with dark brown bars,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,0.13–3.83,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Co,7440-48-4,NS00099570,1.52,0.32,mean,1.12-2.15,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O21",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Little owl,Little owl,Athene noctua,Animalia,Aves,Strigiformes,N/A,N/A,4,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,"greyish-brown, spotted, streaked and barred with white",N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Okara,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,0.13–3.83,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cu,7440-50-8,NS00099581,3.48,0.32,mean,2.89-4.00,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O22",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Spotted owlet,Spotted owlet,Athene brama,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,spotted,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,13.67 to 25.0,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cu,7440-50-8,NS00099581,3.42,0.56,mean,2.45-4.40,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O23",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Short eared owl,Short-eared owl,Asio flammeus,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,flame-coloured,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Mianwali,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,13.67 to 25.0,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cu,7440-50-8,NS00099581,3.51,0.68,mean,2.45-4.78,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O24",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Asian barred owlet (Himalayan owl),Asian barred owlet ,Glaucidium cuculoides,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,whitish with dark brown bars,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate (BWk),N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,13.67 to 25.0,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cu,7440-50-8,NS00099581,3.67,0.33,mean,3.10-4.23,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O25",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Little owl,Little owl,Athene noctua,Animalia,Aves,Strigiformes,N/A,N/A,4,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,"greyish-brown, spotted, streaked and barred with white",N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Okara,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate (BWk),N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,13.67 to 25.0,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Mn,7439-96-5,NS00099572,1.51,0.19,mean,1.30-1.89,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O26",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Spotted owlet,Spotted owlet,Athene brama,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,spotted,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate (BWk),N/A,N/A,yearly average,N/A,N/A,N/A,N/A,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Mn,7439-96-5,NS00099572,1.7,0.26,mean,1.29-2.17,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O27",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Short eared owl,Short-eared owl,Asio flammeus,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,flame-coloured,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Mianwali,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate (BWk),N/A,N/A,yearly average,N/A,N/A,N/A,N/A,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Mn,7439-96-5,NS00099572,1.41,0.28,mean,1.12-1.97,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O28",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Asian barred owlet (Himalayan owl),Asian barred owlet ,Glaucidium cuculoides,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,whitish with dark brown bars,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate (BWk),N/A,N/A,yearly average,N/A,N/A,N/A,N/A,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Mn,7439-96-5,NS00099572,1.84,0.32,mean,1.23-2.31,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O29",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Little owl,Little owl,Athene noctua,Animalia,Aves,Strigiformes,N/A,N/A,4,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,"greyish-brown, spotted, streaked and barred with white",N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Okara,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate (BWk),N/A,N/A,yearly average,N/A,N/A,N/A,N/A,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
