sus_id,categories
5032,photographic
5032,polish
5032,polish:automotive_care
5032,polish:flooring
5032,polish:metals
5032,polish:plastics
5032,polish:rubber
5032,printing
5032,printing:colorant
5032,printing:handheld
5032,printing:ink
5032,process_regulator
5032,propellant:spray
5032,raw_material
5032,raw_material:personal_care:cosmetics
5032,resource_extraction:gas
5032,resource_extraction:oil
5032,sewage_treatment
5032,soap
5032,softener
5032,solvent
5032,solvent:paint_remover
5032,stabilizer
5032,surface_treatment
5032,surface_treatment:metals
5032,surface_treatment:paper
5032,textile:furniture:chairs
5032,toys:lawn_garden
5032,water_treatment
5032,water_treatment:machines:dishwashing
5032,welding_soldering
5032,wood:impregnation
5032,wood:preservatives
8037,adhesive
8037,construction
8037,consumer_use
8037,food_contact
8037,fragrance:consumer_use
8037,furniture:bedding
8037,industrial_manufacturing_ACToRUseDB
8037,leather:consumer_use
8037,manufacturing:chemical
8037,manufacturing:drug
8037,manufacturing:paint
8037,manufacturing:raw_material
8037,manufacturing:textile
8037,paint
8037,photographic
8037,process_regulator
8037,textile:consumer_use
20724,adhesive
20724,industrial_manufacturing_ACToRUseDB
20724,manufacturing:machines
8424,adhesive
8424,adhesive:consumer_use
8424,adhesive:hardener
8424,adhesive:water_based:consumer_use
8424,agricultural
8424,agricultural:animal
8424,agricultural:crop
8424,arts_crafts
8424,arts_crafts:child_use:detected
8424,arts_crafts:clay:detected
8424,automotive
8424,automotive_care
8424,binding
8424,building_construction
8424,building_material
8424,building_material:filler
8424,building_material:flooring
8424,building_material:viscous_liquid
8424,casting_agent
8424,child_use
8424,cleaning_washing:furniture
8424,construction
8424,consumer_use
8424,consumer_use_ACToRUseDB
8424,electronics
8424,explosives:consumer_use
8424,filler
8424,fluid_property_modulator
8424,food_contact
8424,food_contact:plastics
8424,fragrance:consumer_use
8424,fuel
8424,hunting
8424,industrial:adhesive
8424,industrial_fluid
8424,industrial_manufacturing_ACToRUseDB
8424,inert_ACToRUseDB
8424,leather:consumer_use
8424,lubricant
8424,manufacturing
8424,manufacturing:automotive
8424,manufacturing:building_material:wood
8424,manufacturing:chemical
8424,manufacturing:electrical
8424,manufacturing:electronics
8424,manufacturing:export
8424,manufacturing:furniture
8424,manufacturing:leather
